name,subscribed,web,relative_url,instagram,address
Le Méchant Caviste (La Petite Patrie),false,,profile.php?id=100068055636087,https://www.instagram.com/lapetitepatrieparis,12 Rue Mouton Duvernet 75014 Paris
Le Soupir ,false,,lesoupir.brasserie,https://www.instagram.com/lesoupir.brasserie,
Le Supercoin,true,https://supercoin.net,supercoin,https://www.instagram.com/lesupercoin,17 Rue Boinod 75018 Paris
Le Village,false,,levillage,https://www.instagram.com/villagebar.oficial,56 Rue de la Montagne Sainte Genevieve 75005 Paris
les bières de Belleville,false,,lesbieresdeBelleville,https://www.instagram.com/lesbieresdebelleville,9 Rue Jean-Baptiste Dumay 75020 Paris
Les Cuves de Fauve,true,https://fauvebiere.com/pages/cuves-de-fauve,lescuvesdefauve,https://www.instagram.com/lescuvesdefauve,64 Rue de Charonne 75011 Paris
Liquiderie Bar,true,https://liquiderie.com,liquiderie,https://www.instagram.com/liquiderie,7 Rue de la Présentation 75011 Paris
Liquiderie Cave,true,https://liquiderie.com,liquiderie,https://www.instagram.com/liquiderie,9 Rue des Trois Bornes 75011 Paris
Luppolo Bar,true,https://luppolo-bar.fr,profile.php?id=100092529674766,https://www.instagram.com/luppolobarparis,31 Rue Victor Massé 75009 Paris
Maltorama,true,,profile.php?id=61553445802441,https://www.instagram.com/cave_maltorama,82 Boulevard de Champigny 94210 Saint-Maur-des-Fossés
Mashrooms,true,https://mashrooms.fr,brasseriemashroomsparis,https://www.instagram.com/mashroomsmicrobrasserie,2 Rue Gustave Rouanet 75018 Paris
Mez Beer (ex Ker Beer),true,https://mezbeer.eatbu.com/?lang=en,profile.php?id=61572634454050,https://www.instagram.com/mezbeer,10 Rue Vandamme 75014 Paris
Micro-brasserie Balthazar,true,,MBBalthazar,https://www.instagram.com/mbbalthazar,90 Boulevard de Ménilmontant 75020 Paris
Nautilus,true,https://www.nautilusparis.com,Nautilusbarparis,https://www.instagram.com/nautilusbarparis,5 Rue de Châteaudun 75009 Paris
NUKA Brewing,true,https://nukabrewing.com,nukabrewing,https://www.instagram.com/nukabrewing,
O'clock Brewing,false,https://oclockbrewing.fr,oclockbrewing,https://www.instagram.com/oclock_brewing/?hl=fr,3 rue Georges Méliès 78390 Bois d'Arcy
Octopussy Bar,true,,Octo.bar.Paris,https://www.instagram.com/octopussparis,22 Rue de La Jonquière 75017 Paris
One Cloud,false,https://onecloud.beer,,,
Outland,true,https://outland-beer.com,brasserieoutland,https://www.instagram.com/outland_beer,54 Rue André Tessier 94120 Fontenay-sous-Bois
Patoche,true,https://brasseriepatoche.fr,brasseriepatoche,https://www.instagram.com/patocheandfriends,32 Rue des Trois Frères 75018 Paris
Rupture Brewing Company,false,https://www.rupturebrew.com,,https://www.instagram.com/rupturebrew,
Second Degré Microbrasserie,false,https://auseconddegre.shop,microbrasserie.seconddegre,https://www.instagram.com/microbrasserie_seconddegre,10 Rue de l'Église 77700 Magny-le-Hongre
Soquee Brewing,false,https://soqueebrewing.fr,profile.php/?id=100089211693934,https://www.instagram.com/soqueebrewing,157 Boulevard Davout 75020 Paris
The Beer Factory,false,https://www.labeerfabrique.com,labeerfabrique,https://www.instagram.com/beer_fabrique,6-10 Rue Guillaume Bertrand 75011 Paris
The Chubby Brewing Company,false,,,https://www.instagram.com/chubbybrewing,30 Rue des Charnelles 78410 Bouafle
The Great Brewery,true,https://www.thegreatbrewery.fr,thegreatbrewery,https://www.instagram.com/thegreatbrewery,2 Rue du Lieutenant Ohresser 94130 Nogent sur Marne
Tipsip Brewing,true,https://www.tipsip.fr,tipsipbrewing,https://www.instagram.com/tipsipbrewing,14 rue du général Leclerc 89200 Avallon
WAB : We Are Brewers,true,,wabparis,https://www.instagram.com/wearebrewers,16 Boulevard Jules Ferry 75011 Paris
